HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
$535,450 sqft,Low,170 W 23rd St #5S,Condo,NA,10011,Built in 1970,1 full Bathroom,"$1,544/sqft"
NA,"1,994 sqft",NA,27 Vandam St,Townhome,5 Bedroom,10013,Built in 1823,,NA
"$1,427",600 sqft,Low,200 E 24th St #208,Coop,1 Bedroom,10010,Built in 1972,1 full Bathroom,
"$1,461",725 sqft,Low,301 E 64th St #15D,Coop,1 Bedroom,10065,Built in 1963,1 full Bathroom,"$1,034/sqft"
$268,NA,Moderate,327 E 3rd St #2E,Coop,1 Bedroom,10009,Built in 1920,1 full Bathroom,NA
"$1,103",NA,Lowest,370 Central Park W #402,Coop,1 Bedroom,10025,Built in 1917,1 full Bathroom,NA
NA,"2,282 sqft",Moderate,15 Union Sq W #6D,Condo,2 Bedroom,10003,Built in 1870,,"$2,717/sqft"
NA,"1,033 sqft",Moderate,77 E 110th St #6A,Condo,2 Bedroom,10029,NA,1 full Bathroom,
NA,NA,Lowest,333 E 75th St,Coop,1 Bedroom,10021,Built in 1961,1 full Bathroom,NA
$920,"1,750 sqft",Lowest,12 W 18th St #4-WEST,Condo,2 Bedroom,10011,Built in 1884,2 full Bathroom,"$1,597/sqft"
"$1,012","787 sqft7,776 sqft",Moderate,211 W 71st St #5B,Condo,1 Bedroom,10023,Built in 1984,1 full Bathroom,"$1,633/sqft"
"$2,293",NA,Lowest,874 Broadway #605,Coop,1 Bedroom,10003,NA,1 full Bathroom,NA
"$5,490","4,575 sqft",Lowest,874 Broadway,Coop,4 Bedroom,10003,NA,,NA
"$3,129",NA,Moderate,288 Lexington Ave #10BCD,Coop,3 Bedroom,10016,Built in 1956,3 full Bathroom,NA
"$1,174","1,200 sqft",Lowest,900 W 190th St #2G,Coop,3 Bedroom,10040,Built in 1955,2 full Bathroom,"$1,250/sqft"
"$1,922","1,250 sqft",Lowest,201 E 25th St #4H,Coop,2 Bedroom,10010,Built in 1964,2 full Bathroom,"$1,008/sqft"
NA,"1,409 sqft",Lowest,70 Little West St #22D,Condo,2 Bedroom,10004,NA,2 full Bathroom,"$2,126/sqft"
NA,633 sqft,Lowest,244 E 60th St #2C,Coop,1 Bedroom,10022,NA,1 full Bathroom,
NA,NA,Low,Address Not Disclosed,Single-Family Home,1 Bedroom,10023,NA,1 full Bathroom,NA
NA,"1,200 sqft",NA,3405 Broadway #4A,Coop,3 Bedroom,10031,NA,1 full Bathroom,
"$2,157","1,450 sqft",Lowest,107 W 86th St #2GH,Coop,2 Bedroom,10024,Built in 1928,2 full Bathroom,"$1,379/sqft"
"$1,535",NA,Lowest,303 W 66th St #17-JE,Coop,2 Bedroom,10023,NA,1 full Bathroom,NA
NA,940 sqft,Low,50 E 129th St #3A,Condo,2 Bedroom,10035,Built in 2006,1 full Bathroom,
"$1,594","1,375 sqft",Lowest,1 W End Ave #17H,Condo,2 Bedroom,10023,NA,,"$1,989/sqft"
"$2,077",NA,Low,315 E 68th St #6F,Coop,2 Bedroom,10065,Built in 1930,2 full Bathroom,NA
$0,"1,050 sqft",Moderate,1878 Adam Clayton Powell Jr Blvd #31,Coop,3 Bedroom,10026,Built in 1925,1 full Bathroom,
"$2,386","2,932 sqft",Low,140 Sullivan St #2-Floor,Single-Family Home,2 Bedroom,10012,NA,2 full Bathroom,"$1,567/sqft"
"$1,800",NA,Low,225 E 73rd St #7G,Coop,1 Bedroom,10021,Built in 1929,1 full Bathroom,NA
$820,933 sqft,Low,130 Barrow St #401,Condo,2 Bedroom,10014,Built in 1920,1 full Bathroom,"$1,710/sqft"
"$1,496",NA,Lowest,310 E 46th St #8U,Coop,1 Bedroom,10017,NA,1 full Bathroom,NA
$981,854 sqft,Low,200 E 94th St #2911,Condo,1 Bedroom,10128,Built in 1987,1 full Bathroom,"$1,505/sqft"
"$1,763",NA,Lowest,17 Chittenden Ave #4A,Coop,3 Bedroom,10033,Built in 1939,2 full Bathroom,NA
$901,647 sqft,Low,325 Lexington Ave #14B,Condo,1 Bedroom,10016,Built in 2014,1 full Bathroom,"$2,048/sqft"
$808,400 sqft,Moderate,13 W 13th St #2BN,Coop,NA,10011,Built in 1962,1 full Bathroom,"$1,250/sqft"
$691,551 sqft,Lowest,120 Riverside Blvd #4U,Condo,NA,10069,Built in 2005,1 full Bathroom,"$1,407/sqft"
"$1,118",NA,Moderate,333 E 66th St #6R,Coop,NA,10065,NA,1 full Bathroom,NA
NA,"1,200 sqft",Lowest,749 W End Ave #4W,Coop,2 Bedroom,10025,NA,,"$1,042/sqft"
$721,NA,Moderate,317 W 54th St #4E,Coop,NA,10019,Built in 1929,1 full Bathroom,NA
"$1,061",680 sqft,Lowest,353 E 72nd St #5B,Coop,1 Bedroom,10021,Built in 1975,1 full Bathroom,
$843,"675 sqft5,883 sqft",Lowest,1991 Broadway,Condo,1 Bedroom,10023,Built in 1986,1 full Bathroom,"$1,304/sqft"
"$2,815","1,500 sqft",Lowest,860 5th Ave #5M,Coop,2 Bedroom,10065,Built in 1949,2 full Bathroom,"$1,633/sqft"
$464,581 sqft,Low,211 E 51st St #3C,Condo,1 Bedroom,10022,NA,1 full Bathroom,"$1,635/sqft"
"$2,914","2,469 sqft",Moderate,151 E 85th St,Condo,3 Bedroom,10028,Built in 2009,,"$3,159/sqft"
"$7,763","6,058 sqft",Lowest,50 Riverside Blvd #21,Condo,7 Bedroom,10069,Built in 2015,,"$4,251/sqft"
$929,560 sqft,Low,209 E 56th St #5J,Coop,NA,10022,Built in 1959,1 full Bathroom,
"$2,481","1,956 sqft",Lowest,401 E 60th St #28C,Condo,3 Bedroom,10022,NA,,"$1,406/sqft"
"$1,780","1,151 sqft",Lowest,240 Riverside Blvd #7O,Condo,2 Bedroom,10069,Built in 2005,,"$1,603/sqft"
"$1,069",850 sqft,Lowest,155 W 20th St #6A,Coop,1 Bedroom,10011,Built in 1936,1 full Bathroom,"$1,053/sqft"
"$8,334","3,250 sqft",Lowest,425 E 58th St #45H1,Coop,5 Bedroom,10022,Built in 1971,,"$1,700/sqft"
"$1,046","1,016 sqft",Moderate,175 W 95th St #5HJ,Condo,2 Bedroom,10025,Built in 1971,2 full Bathroom,"$1,373/sqft"
$823,NA,Lowest,301 E 79th St #21B,Condo,2 Bedroom,10075,Built in 1975,2 full Bathroom,NA
$950,NA,Lowest,14 E 4th St #503,Condo,2 Bedroom,10012,Built in 1908,1 full Bathroom,NA
"$3,382",NA,Low,235 E 73rd St #5AG,Coop,3 Bedroom,10021,Built in 1930,3 full Bathroom,NA
$0,"1,231 sqft",Lowest,524 E 72nd St #29A,Single-Family Home,2 Bedroom,10021,Built in 1988,NA,"$1,625/sqft"
NA,919 sqft,Moderate,77 E 110th St #6C,Condo,2 Bedroom,10029,NA,1 full Bathroom,
"$1,789",NA,Lowest,128 Central Park S #11C,Coop,1 Bedroom,10019,Built in 1924,,NA
"$1,642",NA,Lowest,239 E 79th St #13J,Coop,2 Bedroom,10075,Built in 1957,2 full Bathroom,NA
"$1,348","1,053 sqft",Lowest,101 Wall St #18A,Condo,2 Bedroom,10005,Built in 1931,2 full Bathroom,"$1,819/sqft"
NA,NA,Lowest,568 Grand St,Coop,3 Bedroom,10002,Built in 1955,2 full Bathroom,NA
